sample	strain	background	seq_pool	genotype_top	genotype_2nd	transcript	ens_gene	ext_gene	tpm
JU2141_GZ_B10_E6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.217214141314426
JU2141_GZ_B10_G5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.465164288075417
JU2141_GZ_B10_H2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.0711648611048855
JU2141_GZ_B10_H3_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.149536831433716
JU2141_GZ_B10_H8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.0615818904111991
JU3144_GZ_B10_A2_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.442638439381107
JU3144_GZ_B10_A3_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.306386838295426
JU3144_GZ_B10_B5_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.165258624543928
JU3144_GZ_B10_C6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.336032356519322
JU3144_GZ_B10_C8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.297911530100464
JU3144_GZ_B10_C9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.228279660089822
JU3144_GZ_B10_D9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.123804821085955
JU3144_GZ_B10_F3_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.153456409927947
JU3144_GZ_B10_F6_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.0610109711140433
JU3144_GZ_B10_G6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.444011451908341
JU3144_GZ_B10_G8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.050574483897474
JU3144_GZ_B10_G9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.337612012032877
JU3144_GZ_B10_H9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.493648631906714
JU642_GZ_B10_A9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_C1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_C2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_C3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_D4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_D5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_D6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_E7_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.444224856577727
JU642_GZ_B10_E8_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_E9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_G1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_G2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.310745975486311
JU642_GZ_B10_G3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.371326441068087
JU642_GZ_B10_H4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.257980425334098
JU642_GZ_B10_H5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU642_GZ_B10_H6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_A1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.100250932857274
JU2106_GZ_B10_A4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.000612458972106226
JU2106_GZ_B10_B4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_B7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.13369445473098
JU2106_GZ_B10_C7_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.204546854463653
JU2106_GZ_B10_D1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.0663331114112954
JU2106_GZ_B10_D7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_E1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.00924517667317071
JU2106_GZ_B10_E4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_F1_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.0730237659135769
JU2106_GZ_B10_F4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.221106760350396
JU2106_GZ_B10_F7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_G4_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.117685145982212
JU2106_GZ_B10_H1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.0393057966881528
JU2106_GZ_B10_H7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.169288320526603
JU2141_GZ_B10_A6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.80059246431474
JU2141_GZ_B10_B8_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.133574808669328
JU2141_GZ_B10_B9_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.315971288554919
JU2141_GZ_B10_C5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	0.382377304511801
JU2141_GZ_B10_D2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.145683093461536
JU2141_GZ_B10_D8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	0.160043152767502
JU2141_GZ_B10_E5_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.315408868493341
JU2141_GZ_B10_E6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.197544608591684
JU2141_GZ_B10_G5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	1.60958800678118e-07
JU2141_GZ_B10_H2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.21673836923408
JU2141_GZ_B10_H3_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.0567173898308894
JU2141_GZ_B10_H8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	0.343710542442533
JU3144_GZ_B10_A2_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.105788006727462
JU3144_GZ_B10_A3_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.0888174155299706
JU3144_GZ_B10_B5_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.412313741974045
JU3144_GZ_B10_C6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	0.0582888884179019
JU3144_GZ_B10_C8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.516368318851548
JU3144_GZ_B10_C9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.303161283218213
JU3144_GZ_B10_D9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	0.259465868833998
JU3144_GZ_B10_F3_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	4.45369365780862e-05
JU3144_GZ_B10_F6_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.477712902013227
JU3144_GZ_B10_G6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	0.276127051014553
JU3144_GZ_B10_G8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.107627481288121
JU3144_GZ_B10_G9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1b.1	WBGene00016561	eri-6	0.351507089077635
JU3144_GZ_B10_H9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1b.1	WBGene00016561	eri-6	0
JU642_GZ_B10_A9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU642_GZ_B10_C1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU642_GZ_B10_C2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.152119419620808
JU642_GZ_B10_C3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU642_GZ_B10_D4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU642_GZ_B10_D5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU642_GZ_B10_D6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	5.94742452414004e-05
JU642_GZ_B10_E7_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU642_GZ_B10_E8_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.200320218064064
JU642_GZ_B10_E9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU642_GZ_B10_G1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.0727317886633025
JU642_GZ_B10_G2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.134722071071294
JU642_GZ_B10_G3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.0175674758740069
JU642_GZ_B10_H4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.0381224135938241
JU642_GZ_B10_H5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1b.1	WBGene00016561	eri-6	0.186483763290163
JU642_GZ_B10_H6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1b.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_A1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	5.59563757838022
JU2106_GZ_B10_A4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	8.42623898261649
JU2106_GZ_B10_B4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.91441120531852
JU2106_GZ_B10_B7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	10.8151079387095
JU2106_GZ_B10_C7_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.92985034083579
JU2106_GZ_B10_D1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	8.84511890747131
JU2106_GZ_B10_D7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.91580216288299
JU2106_GZ_B10_E1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	10.6843850535986
JU2106_GZ_B10_E4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	12.0880191632678
JU2106_GZ_B10_F1_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	11.3194899492711
JU2106_GZ_B10_F4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	8.11656233705786
JU2106_GZ_B10_F7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.85763944816445
JU2106_GZ_B10_G4_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	10.5790277429142
JU2106_GZ_B10_H1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.2601275949663
JU2106_GZ_B10_H7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	10.6357942019884
JU2141_GZ_B10_A6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.17284507116756
JU2141_GZ_B10_B8_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	0.702841396779427
JU2141_GZ_B10_B9_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.85729535837992
JU2141_GZ_B10_C5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	0.974469639879329
JU2141_GZ_B10_D2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.65413182645205
JU2141_GZ_B10_D8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	2.74195009210879
JU2141_GZ_B10_E5_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	0.223411646370432
JU2141_GZ_B10_E6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.16268007184426
JU2141_GZ_B10_G5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	2.3117378544883
JU2141_GZ_B10_H2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.80232059674464
JU2141_GZ_B10_H3_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	2.10424567903684
JU2141_GZ_B10_H8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	1.72294992516512
JU3144_GZ_B10_A2_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	0.732875568827699
JU3144_GZ_B10_A3_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	0.491318586061496
JU3144_GZ_B10_B5_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.39068716450244
JU3144_GZ_B10_C6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	2.21422734952523
JU3144_GZ_B10_C8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.23335132021784
JU3144_GZ_B10_C9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.95477341971198
JU3144_GZ_B10_D9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	1.56898924565516
JU3144_GZ_B10_F3_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	4.00160002213886
JU3144_GZ_B10_F6_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.17153248442435
JU3144_GZ_B10_G6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	0.806214938709076
JU3144_GZ_B10_G8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	2.7011025461537
JU3144_GZ_B10_G9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1c.1	WBGene00016561	eri-6	1.92697649501533
JU3144_GZ_B10_H9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1c.1	WBGene00016561	eri-6	0.745151068333237
JU642_GZ_B10_A9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.93830480612391
JU642_GZ_B10_C1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.99215578521351
JU642_GZ_B10_C2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	10.0227592067795
JU642_GZ_B10_C3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	5.6919984232459
JU642_GZ_B10_D4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.54512536590141
JU642_GZ_B10_D5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	8.25912019045246
JU642_GZ_B10_D6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	8.14133896548804
JU642_GZ_B10_E7_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	5.17902832827841
JU642_GZ_B10_E8_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	6.69629907954321
JU642_GZ_B10_E9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	10.0679198962545
JU642_GZ_B10_G1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	10.1766057804932
JU642_GZ_B10_G2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	9.64500837209464
JU642_GZ_B10_G3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	8.42381948975405
JU642_GZ_B10_H4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	10.3702659430031
JU642_GZ_B10_H5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1c.1	WBGene00016561	eri-6	7.56317697047267
JU642_GZ_B10_H6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1c.1	WBGene00016561	eri-6	8.29580999043086
JU2106_GZ_B10_A1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	2.49509024173527
JU2106_GZ_B10_A4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.932573986438
JU2106_GZ_B10_B4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	4.23744637063818
JU2106_GZ_B10_B7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	2.81118256618823
JU2106_GZ_B10_C7_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	1.63557020945185
JU2106_GZ_B10_D1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.38678732402257
JU2106_GZ_B10_D7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.55822273349606
JU2106_GZ_B10_E1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	6.29657612738434
JU2106_GZ_B10_E4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.0057082466287
JU2106_GZ_B10_F1_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.58006185847662
JU2106_GZ_B10_F4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	2.62026257024177
JU2106_GZ_B10_F7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.05741372612712
JU2106_GZ_B10_G4_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	2.76104057668677
JU2106_GZ_B10_H1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	2.86127211126047
