sample	strain	background	seq_pool	genotype_top	genotype_2nd	transcript	ens_gene	ext_gene	tpm
JU2106_GZ_B10_A1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_A4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.684261536211929
JU2106_GZ_B10_B4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.338798817464279
JU2106_GZ_B10_B7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_C7_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.256590201404675
JU2106_GZ_B10_D1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.138748189122806
JU2106_GZ_B10_D7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.171620608376804
JU2106_GZ_B10_E1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.154731324395206
JU2106_GZ_B10_E4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_F1_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.201959157648283
JU2106_GZ_B10_F4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_F7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.209125394329163
JU2106_GZ_B10_G4_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_H1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.273290016642403
JU2106_GZ_B10_H7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.17298952452542
JU2141_GZ_B10_A6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.177899161662175
JU2141_GZ_B10_B8_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.064346446338725
JU2141_GZ_B10_B9_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.174554854789043
JU2141_GZ_B10_C5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.173748705734535
JU2141_GZ_B10_D2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.368023904686062
JU2141_GZ_B10_D8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0
JU2141_GZ_B10_E5_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0
