strain	id	culture_year	edited	allele	condition	transcript	tpm
JU642	GZ_B10_C3	2022	FALSE	ALT	JU642	C36A4.11.1	0.551348500823887
JU642	GZ_B10_D4_ECA3101	2022	TRUE	REF	JU642_edits	C36A4.11.1	1.010322371343
JU642	GZ_B10_D5_ECA3102	2022	TRUE	REF	JU642_edits	C36A4.11.1	1.43925716247299
JU642	GZ_B10_E8_ECA3102	2022	TRUE	REF	JU642_edits	C36A4.11.1	2.94648016960195
JU642	GZ_B10_E9	2022	FALSE	ALT	JU642	C36A4.11.1	0.743860350528912
JU642	GZ_B10_G1_ECA3101	2022	TRUE	REF	JU642_edits	C36A4.11.1	0.917212886854349
JU642	GZ_B10_G2_ECA3102	2022	TRUE	REF	JU642_edits	C36A4.11.1	1.00264994169738
JU642	GZ_B10_G3	2022	FALSE	ALT	JU642	C36A4.11.1	1.18161182125986
JU642	GZ_B10_H4_ECA3101	2022	TRUE	REF	JU642_edits	C36A4.11.1	0.956221658191807
JU642	GZ_B10_H5_ECA3102	2022	TRUE	REF	JU642_edits	C36A4.11.1	0.483743849982443
JU642	GZ_B10_H6	2022	FALSE	ALT	JU642	C36A4.11.1	0.869056958106997
JU642	GZ_B7_A6	2017	FALSE	ALT	JU642	C36A4.11.1	1.55885715845783
JU642	GZ_B7_D2	2017	FALSE	ALT	JU642	C36A4.11.1	1.01423572613698
JU642	GZr_B5_I2	2017	FALSE	ALT	JU642	C36A4.11.1	1.81000319747961
JU2106	GZ_B10_A1_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0
JU2106	GZ_B10_A4_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0.684261536211929
JU2106	GZ_B10_B4_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0.338798817464279
JU2106	GZ_B10_B7_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0
JU2106	GZ_B10_C7_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0.256590201404675
JU2106	GZ_B10_D1_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0.138748189122806
JU2106	GZ_B10_D7	2022	FALSE	ALT	JU2106	C41D11.1a.1	0.171620608376804
JU2106	GZ_B10_E1_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0.154731324395206
JU2106	GZ_B10_E4_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0
JU2106	GZ_B10_F1	2022	FALSE	ALT	JU2106	C41D11.1a.1	0.201959157648283
JU2106	GZ_B10_F4_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0
JU2106	GZ_B10_F7_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0.209125394329163
JU2106	GZ_B10_G4	2022	FALSE	ALT	JU2106	C41D11.1a.1	0
JU2106	GZ_B10_H1_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1a.1	0.273290016642403
JU2106	GZ_B10_H7	2022	FALSE	ALT	JU2106	C41D11.1a.1	0.17298952452542
JU2106	GZ_B3_D9	2017	FALSE	ALT	JU2106	C41D11.1a.1	0.95439262789626
JU2106	GZ_B5_B8	2017	FALSE	ALT	JU2106	C41D11.1a.1	0.290759673381539
JU2106	GZr_B3_B5	2017	FALSE	ALT	JU2106	C41D11.1a.1	0.286962101402142
JU2141	GZ_B10_A6_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1a.1	0.177899161662175
JU2141	GZ_B10_B8_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1a.1	0.064346446338725
JU2141	GZ_B10_B9_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1a.1	0.174554854789043
JU2141	GZ_B10_C5	2022	FALSE	REF	JU2141	C41D11.1a.1	0.173748705734535
JU2141	GZ_B10_D2_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1a.1	0.368023904686062
JU2141	GZ_B10_D8	2022	FALSE	REF	JU2141	C41D11.1a.1	0
JU2141	GZ_B10_E5_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1a.1	0
JU2141	GZ_B10_E6_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1a.1	0.217214141314426
JU2141	GZ_B10_G5	2022	FALSE	REF	JU2141	C41D11.1a.1	0.465164288075417
JU2141	GZ_B10_H2_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1a.1	0.0711648611048855
JU2141	GZ_B10_H3_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1a.1	0.149536831433716
JU2141	GZ_B10_H8	2022	FALSE	REF	JU2141	C41D11.1a.1	0.0615818904111991
JU2141	GZ_B2_A7	2017	FALSE	REF	JU2141	C41D11.1a.1	0
JU2141	GZ_B4_I1	2017	FALSE	REF	JU2141	C41D11.1a.1	0
JU2141	GZr_B2_D8	2017	FALSE	REF	JU2141	C41D11.1a.1	0.110955113348525
JU3144	GZ_B10_A2_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1a.1	0.442638439381107
JU3144	GZ_B10_A3_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1a.1	0.306386838295426
JU3144	GZ_B10_B5_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1a.1	0.165258624543928
JU3144	GZ_B10_C6	2022	FALSE	REF	JU3144	C41D11.1a.1	0.336032356519322
JU3144	GZ_B10_C8_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1a.1	0.297911530100464
JU3144	GZ_B10_C9_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1a.1	0.228279660089822
JU3144	GZ_B10_D9	2022	FALSE	REF	JU3144	C41D11.1a.1	0.123804821085955
JU3144	GZ_B10_F3	2022	FALSE	REF	JU3144	C41D11.1a.1	0.153456409927947
JU3144	GZ_B10_F6_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1a.1	0.0610109711140433
JU3144	GZ_B10_G6	2022	FALSE	REF	JU3144	C41D11.1a.1	0.444011451908341
JU3144	GZ_B10_G8_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1a.1	0.050574483897474
JU3144	GZ_B10_G9_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1a.1	0.337612012032877
JU3144	GZ_B10_H9	2022	FALSE	REF	JU3144	C41D11.1a.1	0.493648631906714
JU3144	GZ_B2_F6	2017	FALSE	REF	JU3144	C41D11.1a.1	0.315254734979367
JU3144	GZ_B5_A2	2017	FALSE	REF	JU3144	C41D11.1a.1	0.252540304578666
JU642	GZ_B10_A9	2022	FALSE	ALT	JU642	C41D11.1a.1	0
JU642	GZ_B10_C1_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0
JU642	GZ_B10_C2_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0
JU642	GZ_B10_C3	2022	FALSE	ALT	JU642	C41D11.1a.1	0
JU642	GZ_B10_D4_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0
JU642	GZ_B10_D5_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0
JU642	GZ_B10_E8_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0
JU642	GZ_B10_E9	2022	FALSE	ALT	JU642	C41D11.1a.1	0
JU642	GZ_B10_G1_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0
JU642	GZ_B10_G2_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0.310745975486311
JU642	GZ_B10_G3	2022	FALSE	ALT	JU642	C41D11.1a.1	0.371326441068087
JU642	GZ_B10_H4_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0.257980425334098
JU642	GZ_B10_H5_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1a.1	0
JU642	GZ_B10_H6	2022	FALSE	ALT	JU642	C41D11.1a.1	0
JU642	GZ_B7_A6	2017	FALSE	ALT	JU642	C41D11.1a.1	0
JU642	GZ_B7_D2	2017	FALSE	ALT	JU642	C41D11.1a.1	0
JU642	GZr_B5_I2	2017	FALSE	ALT	JU642	C41D11.1a.1	0
JU2106	GZ_B10_A1_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0.100250932857274
JU2106	GZ_B10_A4_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0.000612458972106226
JU2106	GZ_B10_B4_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0
JU2106	GZ_B10_B7_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0.13369445473098
JU2106	GZ_B10_C7_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0.204546854463653
JU2106	GZ_B10_D1_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0.0663331114112954
JU2106	GZ_B10_D7	2022	FALSE	ALT	JU2106	C41D11.1b.1	0
JU2106	GZ_B10_E1_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0.00924517667317071
JU2106	GZ_B10_E4_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0
JU2106	GZ_B10_F1	2022	FALSE	ALT	JU2106	C41D11.1b.1	0.0730237659135769
JU2106	GZ_B10_F4_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0.221106760350396
