strain	isotype	pos	perc
AB1	AB1	4456377	78.7426528538737
BRC20067	BRC20067	4456377	74.1767195875655
BRC20263	BRC20263	4456377	62.462797672562
CB4852	CB4852	4456377	52.1802708541918
CB4854	CB4854	4456377	62.6410293029354
CB4856	CB4856	4456377	72.027894562845
CB4932	CB4932	4456377	57.6523734122918
CX11254	CX11254	4456377	48.7628270922563
CX11262	CX11262	4456377	56.249594489381
CX11264	CX11264	4456377	55.06572940495
CX11271	CX11271	4456377	48.3311295428136
CX11276	CX11276	4456377	51.8272596547714
CX11285	CX11285	4456377	65.9771787258555
CX11292	CX11292	4456377	52.3093622937764
CX11307	CX11307	4456377	69.1664371335843
CX11314	CX11314	4456377	59.8782115632826
CX11315	CX11315	4456377	58.4912696754141
DL200	DL200	4456377	29.1278035929897
DL226	DL226	4456377	75.2467207867248
DL238	DL238	4456377	66.2446967720676
ECA1069	ECA1069	4456377	60.7080122208628
ECA1074	ECA1074	4456377	75.6371667495674
ECA1185	ECA1185	4456377	0
ECA1186	ECA1186	4456377	63.9598960691459
ECA1187	ECA1187	4456377	0
ECA1191	ECA1191	4456377	0
ECA1192	ECA1192	4456377	0
ECA1193	ECA1193	4456377	0
ECA1194	ECA1194	4456377	0
ECA1195	ECA1195	4456377	0
ECA1196	ECA1196	4456377	0
ECA1200	ECA1200	4456377	97.0398544732926
ECA1202	ECA1202	4456377	52.906430829513
ECA1206	ECA1206	4456377	0
ECA1208	ECA1208	4456377	83.500908276275
ECA1212	ECA1212	4456377	84.5197405812785
ECA1216	ECA1216	4456377	0
ECA1223	ECA1223	4456377	91.6883850230215
ECA1225	ECA1225	4456377	72.7893742720762
ECA1228	ECA1228	4456377	0
ECA1229	ECA1229	4456377	0
ECA1232	ECA1232	4456377	0
ECA1237	ECA1237	4456377	0
ECA1238	ECA1238	4456377	0
ECA1240	ECA1240	4456377	0
ECA1242	ECA1242	4456377	0
ECA1243	ECA1243	4456377	80.5889708599482
ECA1247	ECA1247	4456377	61.8688229847284
ECA1251	ECA1251	4456377	0
ECA1252	ECA1252	4456377	0
ECA1253	ECA1253	4456377	0
ECA1255	ECA1255	4456377	54.2840375586854
ECA1257	ECA1257	4456377	82.968157841017
ECA1260	ECA1260	4456377	0
ECA1261	ECA1261	4456377	0
ECA1269	ECA1269	4456377	95.7960501932545
ECA1271	ECA1271	4456377	86.5660930207235
ECA1276	ECA1276	4456377	125.600247289702
ECA1278	ECA1278	4456377	0
ECA1281	ECA1281	4456377	0
ECA1283	ECA1283	4456377	0
ECA1284	ECA1284	4456377	88.0044179389199
ECA1286	ECA1286	4456377	0
ECA1287	ECA1287	4456377	77.10801856179
ECA1288	ECA1288	4456377	63.5511583397932
ECA1289	ECA1289	4456377	64.0775461200379
ECA1293	ECA1293	4456377	87.4083851633444
ECA1298	ECA1298	4456377	73.9472885235182
ECA1316	ECA1316	4456377	88.206434159512
ECA1409	ECA1409	4456377	57.3509561750533
ECA1413	ECA1413	4456377	83.3876617282295
ECA1493	ECA1493	4456377	0
ECA1693	ECA1693	4456377	102.649848020136
ECA1713	ECA1713	4456377	0
ECA1717	ECA1717	4456377	0
ECA1725	ECA1725	4456377	0
ECA1751	ECA1751	4456377	78.6068318821166
ECA1757	ECA1757	4456377	75.3252520486542
ECA1761	ECA1761	4456377	0
ECA1769	ECA1769	4456377	47.9893692924267
ECA1793	ECA1793	4456377	0
ECA1805	ECA1805	4456377	87.5681483544908
ECA1807	ECA1807	4456377	86.092885124043
ECA1815	ECA1815	4456377	61.0679970898036
ECA1821	ECA1821	4456377	0
ECA1825	ECA1825	4456377	51.3769077637691
ECA1843	ECA1843	4456377	85.7222431371345
ECA1851	ECA1851	4456377	0
ECA1853	ECA1853	4456377	73.6790317539988
ECA1875	ECA1875	4456377	99.1210074809747
ECA1885	ECA1885	4456377	0
ECA1887	ECA1887	4456377	83.8189921151869
ECA1889	ECA1889	4456377	65.545098517753
ECA1891	ECA1891	4456377	0
