strain	zone	zone_mean	hap_inv	haplotype_2	inversion
ECA1286	eri6f	2.80467883433784	ECA396	ECA396	ANCeri-7
ECA1286	eri6f3utr	0	ECA396	ECA396	ANCeri-7
ECA1287	TIR1	65.2438322764234	CB4856-like	CB4856	CB4856-like
ECA1287	TIR2	54.7544505248026	CB4856-like	CB4856	CB4856-like
ECA1287	sosi1	188.03720345877	CB4856-like	CB4856	CB4856-like
ECA1287	eri6e	77.7068624537199	CB4856-like	CB4856	CB4856-like
ECA1287	eri6f	104.262337390859	CB4856-like	CB4856	CB4856-like
ECA1287	eri6f3utr	87.0649356908069	CB4856-like	CB4856	CB4856-like
ECA1288	TIR1	119.788702118892	ECA1288	ECA1288,ECA1807	INV ?
ECA1288	TIR2	119.519058578313	ECA1288	ECA1288,ECA1807	INV ?
ECA1288	sosi1	184.947007959153	ECA1288	ECA1288,ECA1807	INV ?
ECA1288	eri6e	95.1590417662311	ECA1288	ECA1288,ECA1807	INV ?
ECA1288	eri6f	94.4434142163786	ECA1288	ECA1288,ECA1807	INV ?
ECA1288	eri6f3utr	103.617023063464	ECA1288	ECA1288,ECA1807	INV ?
ECA1289	TIR1	103.60540094958	ECA396	ECA396	INVsosi-1
ECA1289	TIR2	57.7119082050144	ECA396	ECA396	INVsosi-1
