strain	zone	zone_mean	hap_inv	haplotype_2	inversion
CX11271	TIR2	160.877992964801	N2-like	AB1	N2-like
CX11271	sosi1	135.467088525284	N2-like	AB1	N2-like
CX11271	eri6e	140.829197791273	N2-like	AB1	N2-like
CX11271	eri6f	108.790000661603	N2-like	AB1	N2-like
CX11271	eri6f3utr	105.507233378912	N2-like	AB1	N2-like
CX11276	TIR1	94.9157273130475	N2-like	AB1	N2-like
CX11276	TIR2	124.198066411197	N2-like	AB1	N2-like
CX11276	sosi1	284.966117717868	N2-like	AB1	N2-like
CX11276	eri6e	140.956790940535	N2-like	AB1	N2-like
CX11276	eri6f	75.3785306699861	N2-like	AB1	N2-like
CX11276	eri6f3utr	59.1627064314298	N2-like	AB1	N2-like
CX11285	TIR1	145.558524781926	N2-like	AB1	N2-like
CX11285	TIR2	176.528722100086	N2-like	AB1	N2-like
CX11285	sosi1	141.458669211614	N2-like	AB1	N2-like
CX11285	eri6e	154.212138930236	N2-like	AB1	N2-like
CX11285	eri6f	108.509963828787	N2-like	AB1	N2-like
CX11285	eri6f3utr	92.5838389231003	N2-like	AB1	N2-like
CX11292	TIR1	90.5939423465675	N2-like	AB1	N2-like
CX11292	TIR2	122.699278174243	N2-like	AB1	N2-like
CX11292	sosi1	191.406572513292	N2-like	AB1	N2-like
CX11292	eri6e	189.077413831778	N2-like	AB1	N2-like
CX11292	eri6f	132.670034832408	N2-like	AB1	N2-like
CX11292	eri6f3utr	81.8262574233257	N2-like	AB1	N2-like
CX11307	TIR1	121.054214728609	N2-like	AB1	N2-like
CX11307	TIR2	131.728466185508	N2-like	AB1	N2-like
CX11307	sosi1	176.605330286704	N2-like	AB1	N2-like
CX11307	eri6e	166.403682917777	N2-like	AB1	N2-like
CX11307	eri6f	124.965645719169	N2-like	AB1	N2-like
CX11307	eri6f3utr	77.5420603802293	N2-like	AB1	N2-like
CX11314	TIR1	133.923250804418	N2-like	AB1	N2-like
CX11314	TIR2	157.166249435409	N2-like	AB1	N2-like
CX11314	sosi1	158.492841789923	N2-like	AB1	N2-like
CX11314	eri6e	155.450656266481	N2-like	AB1	N2-like
CX11314	eri6f	116.95591762451	N2-like	AB1	N2-like
CX11314	eri6f3utr	91.3831429728265	N2-like	AB1	N2-like
CX11315	TIR1	145.275206949635	N2-like	AB1	N2-like
CX11315	TIR2	169.48639786983	N2-like	AB1	N2-like
CX11315	sosi1	181.466123877295	N2-like	AB1	N2-like
CX11315	eri6e	180.985366143858	N2-like	AB1	N2-like
CX11315	eri6f	95.0483132225479	N2-like	AB1	N2-like
CX11315	eri6f3utr	73.905612367498	N2-like	AB1	N2-like
DL200	TIR1	112.960929549144	N2-like	AB1	N2-like
DL200	TIR2	111.696362331171	N2-like	AB1	N2-like
